Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,SEO Title,SEO Description,Status,Product Metafield: reviews.rating [rating],Product Metafield: reviews.rating_count [number_integer],Product Metafield: custom.sold_count [number_integer]
hero-mask-remote-ring,Light-Up Hero Mask with Remote Ring,"<p>Moulded plastic mask with lenses that blink and glow on command. The ring on your finger does it, so nobody sees you trigger it.</p><ul><li>Lenses light up red and blue, and blink on command</li><li>Controlled by a ring on your finger, not a switch on the mask</li><li>Skin-friendly moulded plastic, 26 x 19 x 11cm</li></ul>",,LED Masks,LED Masks,TRUE,Title,Default Title,,,,,hero-mask-remote-ring,shopify,25,deny,manual,45.99,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring.jpg,1,Light-Up Hero Mask with Remote Ring,,Light-Up Hero Mask with Remote Ring | Free US Shipping Before Hallowee,"Moulded plastic mask with lenses that blink and glow on command. The ring on your finger does it, so nobody sees you trigger it.",active,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.5""}",445,
hero-mask-remote-ring,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring-2.jpg,2,Light-Up Hero Mask with Remote Ring,,,,,,,
hero-mask-remote-ring,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring-3.jpg,3,Light-Up Hero Mask with Remote Ring,,,,,,,
hero-mask-remote-ring,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring-4.jpg,4,Light-Up Hero Mask with Remote Ring,,,,,,,
hero-mask-remote-ring,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring-5.jpg,5,Light-Up Hero Mask with Remote Ring,,,,,,,
hero-mask-remote-ring,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring-6.jpg,6,Light-Up Hero Mask with Remote Ring,,,,,,,
hero-mask-remote-ring,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring-7.jpg,7,Light-Up Hero Mask with Remote Ring,,,,,,,
hero-mask-remote-ring,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-mask-remote-ring-8.jpg,8,Light-Up Hero Mask with Remote Ring,,,,,,,
hero-helmet-11-scale,1:1 Scale Spider Hero Helmet,"<p>Full-size wearable helmet with motorised expressive lenses and a rechargeable wireless control ring. The one people film.</p><ul><li>1:1 scale - a full-size wearable helmet, not a face mask</li><li>Motorised lenses with dynamic eyeball and shutter control</li><li>USB-C rechargeable, with a one-touch wireless control ring</li></ul>",,LED Masks,"LED Masks, needs-price",FALSE,Title,Default Title,,,,,hero-helmet-11-scale,shopify,25,deny,manual,,,TRUE,TRUE,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale.jpg,1,1:1 Scale Spider Hero Helmet,,1:1 Scale Spider Hero Helmet | Free US Shipping Before Halloween,Full-size wearable helmet with motorised expressive lenses and a rechargeable wireless control ring. The one people film.,draft,"{""scale_min"":""1.0"",""scale_max"":""5.0"",""value"":""4.3""}",223,
hero-helmet-11-scale,,,,,,,,,,,,,,,,,,,,,,https://anirudhatalmale6-alt.github.io/halloween-store-demo/assets/products/hero-helmet-11-scale-2.jpg,2,1:1 Scale Spider Hero Helmet,,,,,,,
